STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,,
IL,Illinois,S,n/a,,Roger K.,Davis,"Davis, Roger K.",,W,,,,,31,0.00%,,,,,,,,
IL,Illinois,S,n/a,,Hilaire F.,Shioura,"Shioura, Hilaire F.",,W,,,,,12,0.00%,,,,,,,,
IL,Illinois,S,n/a,,Sherry,Procarione,"Procarione, Sherry",,W,,,,,1,0.00%,,,,,,,,
IL,Illinois,S,n/a,,,,,Total State Votes:,,"1,183,429",,,,"3,603,519",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
IA,Iowa,S,S4IA00129 ,,Joni,Ernst,"Ernst, Joni",,R,"88,535",56.12%,,,"588,575",52.10%,,,,,W,,,
IA,Iowa,S,S4IA00111 ,,Sam,Clovis,"Clovis, Sam",,R,"28,418",18.01%,,,,,,,,,,,,
IA,Iowa,S,S4IA00152,,Mark ,Jacobs,"Jacobs, Mark ",,R,"26,523",16.81%,,,,,,,,,,,,
IA,Iowa,S,S4IA00095 ,,Matt,Whitaker,"Whitaker, Matt",,R,"11,884",7.53%,,,,,,,,,,,,
IA,Iowa,S,S4IA00137 ,,Scott,Schaben,"Schaben, Scott",,R,"2,233",1.42%,,,,,,,,,,,,
IA,Iowa,S,n/a,,,Scattered,Scattered,,W(R),155,0.10%,,,,,,,,,,,,
IA,Iowa,S,n/a,,,,,Party Votes:,R,"157,748",,,,,,,,,,,,,
IA,Iowa,S,S4IA00087 ,,Bruce,Braley,"Braley, Bruce",,D,"62,600",99.14%,,,"494,370",43.76%,,,,,,,,
IA,Iowa,S,n/a,,,Scattered,Scattered,,W(D),545,0.86%,,,,,,,,,,,,
IA,Iowa,S,n/a,,,,,Party Votes:,D,"63,145",,,,,,,,,,,,,
IA,Iowa,S,S4IA00194 ,,Rick,Stewart,"Stewart, Rick",,IND,,,,,"26,815",2.37%,,,,,,,,
IA,Iowa,S,S4IA00186,,Douglas,Butzier,"Butzier, Douglas",,LIB,,,,,"8,232",0.73%,,,,,,,,
IA,Iowa,S,S4IA00202,,Bob,Quast,"Quast, Bob",,BQT,,,,,"5,873",0.52%,,,,,,,,
IA,Iowa,S,S4IA00210,,Ruth,Smith,"Smith, Ruth",,NNE,,,,,"4,724",0.42%,,,,,,,,
IA,Iowa,S,n/a,,,Scattered,Scattered,,W,,,,,"1,111",0.10%,,,,,,,,
IA,Iowa,S,n/a,,,,,Total State Votes:,,"220,893",,,,"1,129,700",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
KS,Kansas,S,S6KS00080,(I),Pat,Roberts,"Roberts, Pat",,R,"127,089",48.08%,,,"460,350",53.15%,,,,,W,,,
KS,Kansas,S,S4KS00127,,Milton,Wolf,"Wolf, Milton",,R,"107,799",40.78%,,,,,,,,,,,,
