1,STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,
144,AZ,06,n/a,,,,,Party Votes:,LIB,,,,,,,,,
145,AZ,06,H2AZ06197,,Mark,Salazar,"Salazar, Mark",,W(GRE)/GRE,"5,637",1.92%,,,,,,,
146,AZ,06,n/a,,,,,Party Votes:,GRE,,,,,,,,,
147,AZ,06,n/a,,James,Ketover,"Ketover, James",,W,1,0.00%,,,,,,,
148,AZ,06,n/a,,,,,District Votes:,,"293,177",,,,,,,,
149,AZ,,n/a,,,,DISTRICT 7,,,,,,,,,,,
150,AZ,07,H2AZ02055,(I),Ed,Pastor,"Pastor, Ed",,D,"104,489",81.74%,,,,,W,,
151,AZ,07,H8AZ04116,,Rebecca,DeWitt,"DeWitt, Rebecca",,D,,,,,,,,,
152,AZ,07,n/a,,,,,Party Votes:,D,,,,,,,,,
153,AZ,07,H6AZ07022,,Joe,Cobb,"Cobb, Joe",,LIB,"23,338",18.26%,,,,,,,
154,AZ,07,n/a,,,,,Party Votes:,LIB,,,,,,,,,
155,AZ,07,H2AZ07179,,Scott,Fistler,"Fistler, Scott",,W(R),,,,,,,,,
156,AZ,07,n/a,,,,,Party Votes:,R,,,,,,,,,
157,AZ,07,n/a,,,,,District Votes:,,"127,827",,,,,,,,
158,AZ,,n/a,,,,DISTRICT 8,,,,,,,,,,,
159,AZ,08,H4AZ04024,(I),Trent ,Franks,"Franks, Trent ",,R,"172,809",63.35%,,,,,W,,
160,AZ,08,H2AZ08144,,Tony,Passalacqua,"Passalacqua, Tony",,R,,,,,,,,,
161,AZ,08,H2AZ08136,,Helmuth,Hack,"Hack, Helmuth",,W(R),,,,,,,,,
162,AZ,08,n/a,,,,,Party Votes:,R,,,,,,,,,
163,AZ,08,H0AZ03248,,Gene,Scharer,"Scharer, Gene",,D,"95,635",35.06%,,,,,,,
164,AZ,08,n/a,,,,,Party Votes:,D,,,,,,,,,
165,AZ,08,H2AZ08151,,Stephen,Dolgos,"Dolgos, Stephen",,AE,"4,347",1.59%,,,,,,,
166,AZ,08,n/a,,,,,Party Votes:,AE,,,,,,,,,
167,AZ,08,n/a,,,,,District Votes:,,"272,791",,,,,,,,
168,AZ,,n/a,,,,DISTRICT 9,,,,,,,,,,,
169,AZ,09,H2AZ09019,,Kyrsten,Sinema,"Sinema, Kyrsten",,D,"121,881",48.73%,,,,,W,,
170,AZ,09,H2AZ09027,,David,Schapira,"Schapira, David",,D,,,,,,,,,
171,AZ,09,H2AZ09043,,Andrei,Cherny,"Cherny, Andrei",,D,,,,,,,,,
172,AZ,09,n/a,,,,,Party Votes:,D,,,,,,,,,
173,AZ,09,H0AZ03321,,Vernon B.,Parker,"Parker, Vernon B.",,R,"111,630",44.63%,,,,,,,
174,AZ,09,H2AZ09035,,Wendy,Rogers,"Rogers, Wendy",,R,,,,,,,,,
175,AZ,09,H2AZ09050,,Martin,Sepulveda,"Sepulveda, Martin",,R,,,,,,,,,
176,AZ,09,H2AZ06155,,Travis,Grantham,"Grantham, Travis",,R,,,,,,,,,
177,AZ,09,H2AZ09118,,Jeff,Thompson,"Thompson, Jeff",,R,,,,,,,,,
178,AZ,09,H2AZ09100,,Lisa,Borowsky,"Borowsky, Lisa",,R,,,,,,,,,
179,AZ,09,H2AZ09084,,Leah,Campos Schandlbauer,"Campos Schandlbauer, Leah",,R,,,,,,,,,
180,AZ,09,n/a,,,,,Party Votes:,R,,,,,,,,,
181,AZ,09,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,W(LIB)/LIB,"16,620",6.64%,,,,,,,
182,AZ,09,n/a,,,,,Party Votes:,LIB,,,,,,,,,
183,AZ,09,n/a,,,,,District Votes:,,"250,131",,,,,,,,
184,AZ,,n/a,,,,,,,,,,,,,,,
185,AZ,H,n/a,,,,,Total State Votes:,,"2,173,317",,,,,,,,
186,AZ,,n/a,,,,,,,,,,,,,,,
187,AZ,S,S2AZ00141,,Jeff,Flake,"Flake, Jeff",,R,"1,104,457",49.23%,,,,,W,,
188,AZ,S,S2AZ00190,,Wil,Cardon,"Cardon, Wil",,R,,,,,,,,,
189,AZ,S,S2AZ00216,,Clair,Van Steenwyk,"Van Steenwyk, Clair",,R,,,,,,,,,
190,AZ,S,S2AZ00166,,Bryan,Hackbarth,"Hackbarth, Bryan",,R,,,,,,,,,
191,AZ,S,S2AZ00240,,John,Lyon,"Lyon, John",,W(R),,,,,,,,,
192,AZ,S,S2AZ00281,,Luis,Acle,"Acle, Luis",,W(R),,,,,,,,,
193,AZ,S,n/a,,,,,Party Votes:,R,,,,,,,,,
194,AZ,S,S2AZ00232,,Richard,Carmona,"Carmona, Richard",,D,"1,036,542",46.20%,,,,,,,
195,AZ,S,n/a,,,,,Party Votes:,D,,,,,,,,,
